link,name,school,department,rating,difficulty,would_take_again
https://www.ratemyprofessors.com/professor/183744,Harold Grasmick,University of Oklahoma,Sociology,4.3,2.3,100%
https://www.ratemyprofessors.com/professor/183766,Corey Twitchell,University of Oklahoma,Languages,4.8,2.8,N/A
https://www.ratemyprofessors.com/professor/187650,Martha Skeeters,University of Oklahoma,History,2.2,4.2,N/A
https://www.ratemyprofessors.com/professor/188973,Tom Boyd,University of Oklahoma,Theology,4.4,3.2,N/A
https://www.ratemyprofessors.com/professor/189525,John Verbick,University of Oklahoma,Languages,4.5,3.1,100%
https://www.ratemyprofessors.com/professor/190434,Catherine Kelly,University of Oklahoma,History,3.0,3.6,67%
https://www.ratemyprofessors.com/professor/190436,Gerilyn Soreghan,University of Oklahoma,Science,3.9,3,100%
https://www.ratemyprofessors.com/professor/190438,Semion Gutman,University of Oklahoma,Mathematics,4.2,2.8,N/A
https://www.ratemyprofessors.com/professor/192363,Russell Franks,University of Oklahoma,Chemistry,3.1,3.8,N/A
https://www.ratemyprofessors.com/professor/193042,Leonard Rubin,University of Oklahoma,Mathematics,4.0,3,N/A
https://www.ratemyprofessors.com/professor/200454,Michael Richman,University of Oklahoma,Meteorology,2.7,4.7,N/A
https://www.ratemyprofessors.com/professor/200905,Sally Gros,University of Oklahoma,Geography,4.9,1.8,100%
https://www.ratemyprofessors.com/professor/200907,Aondover Tarhule,University of Oklahoma,Geography,3.9,3.2,67%
https://www.ratemyprofessors.com/professor/201242,Helen Hull,University of Oklahoma,Mathematics,4.6,2.5,N/A
https://www.ratemyprofessors.com/professor/201495,Ronald Halterman,University of Oklahoma,Chemistry,3.4,4,N/A
https://www.ratemyprofessors.com/professor/201497,Michael Kaspari,University of Oklahoma,Science,3.8,3,N/A
https://www.ratemyprofessors.com/professor/203256,Ralph Tanner,University of Oklahoma,Science,3.2,3.3,0%
https://www.ratemyprofessors.com/professor/204193,David Hudgins,University of Oklahoma,Economics,3.3,2.8,N/A
https://www.ratemyprofessors.com/professor/206189,Daniel Darvay,University of Oklahoma,English,4.0,2.1,N/A
https://www.ratemyprofessors.com/professor/208324,Kevin B. Grier,University of Oklahoma,Economics,2.8,3.3,0%
https://www.ratemyprofessors.com/professor/215611,Michael Abraham,University of Oklahoma,Chemistry,2.2,3.2,N/A
https://www.ratemyprofessors.com/professor/215612,Clarence Blank,University of Oklahoma,Chemistry,3.9,2.8,N/A
https://www.ratemyprofessors.com/professor/219618,William Savage,University of Oklahoma,History,2.0,4.4,100%
https://www.ratemyprofessors.com/professor/219931,Robert Nairn,University of Oklahoma,Science,4.9,2.3,100%
https://www.ratemyprofessors.com/professor/219934,David Sabatini,University of Oklahoma,Science,4.0,2.7,100%
https://www.ratemyprofessors.com/professor/228193,Rex Page,University of Oklahoma,Computer Science,3.5,3.7,N/A
https://www.ratemyprofessors.com/professor/229224,Karen Schutjer,University of Oklahoma,Languages,4.9,3.6,100%
https://www.ratemyprofessors.com/professor/229225,Michael Angelotti,University of Oklahoma,Education,4.0,2.3,N/A
https://www.ratemyprofessors.com/professor/229227,Douglas Elmore,University of Oklahoma,Geology,4.6,2.9,N/A
https://www.ratemyprofessors.com/professor/229233,Clara Sue Kidwell,University of Oklahoma,Anthropology,3.4,2.5,N/A
https://www.ratemyprofessors.com/professor/230337,Andy Magid,University of Oklahoma,Mathematics,3.1,3.7,N/A
https://www.ratemyprofessors.com/professor/230347,Marilyn Breen,University of Oklahoma,Mathematics,4.0,2.7,N/A
https://www.ratemyprofessors.com/professor/232133,Sherry Glenn,University of Oklahoma,Engineering,0.0,0,N/A
https://www.ratemyprofessors.com/professor/234278,Mary Elam,University of Oklahoma,Psychology,4.7,1.7,N/A
https://www.ratemyprofessors.com/professor/235299,Ron Peters,University of Oklahoma,Political Science,3.7,3.7,N/A
https://www.ratemyprofessors.com/professor/242447,Dinah Stillman,University of Oklahoma,Languages,3.6,3.6,N/A
https://www.ratemyprofessors.com/professor/246237,James Hawthorne,University of Oklahoma,Philosophy,4.7,1.4,N/A
https://www.ratemyprofessors.com/professor/246675,Laura Gibbs,University of Oklahoma,Anthropology,5.0,1.8,100%
https://www.ratemyprofessors.com/professor/249869,Robert Schlegel,University of Oklahoma,Engineering,0.0,0,N/A
https://www.ratemyprofessors.com/professor/255276,Mark Sharfman,University of Oklahoma,Business,2.0,3.3,50%
https://www.ratemyprofessors.com/professor/255951,Joao Cruz,University of Oklahoma,Engineering,4.3,3.6,50%
https://www.ratemyprofessors.com/professor/256025,Iver Wahl,University of Oklahoma,Architecture,2.3,4.4,100%
https://www.ratemyprofessors.com/professor/256166,Paul Gilje,University of Oklahoma,History,3.5,3.5,100%
https://www.ratemyprofessors.com/professor/256670,Younane Abousleiman,University of Oklahoma,Engineering,3.9,2.7,50%
https://www.ratemyprofessors.com/professor/256727,Hilde Votaw,University of Oklahoma,Languages,4.1,2.6,N/A
https://www.ratemyprofessors.com/professor/256728,David Branch,University of Oklahoma,Science,4.5,2.2,N/A
